Parameter,Start,End,Freq Lower Bound (mHz),Freq Upper Bound (mHz),FHB,PG5,GHB,PG4,SKT,STF,PG3,ATU,PG2,GDH,UMQ,PG1,PG0,UPN,KUV,SVS,THL,Arctic Maximum,Arctic Mean,Arctic Standard Deviation,Arctic Coefficient of Variation,Arctic Maximum GEOLON,Arctic Maximum GEOLAT,Arctic Maximum AACGMLON,Arctic Maximum AACGMLAT,Antarctic Maximum,Antarctic Mean,Antarctic Standard Deviation,Antarctic Coefficient of Variation,Antarctic Maximum GEOLON,Antarctic Maximum GEOLAT,Antarctic Maximum AACGMLON,Antarctic Maximum AACGMLAT
Bz,2015-04-13 19:50:56,2015-04-13 21:20:56,2.5,3,491.57017900230915,Error,641.7538045422348,0.07761048138428656,1751.6500203380676,2534.435410976217,0.019174294630242943,3761.563503384721,0.012482252070049485,12015.150793247347,12437.82570908137,0.037570100396010137,0.012386761721891232,Error,1313.812617156713,1551.6939294695449,700.7690375300908,12437.82570908137,3720.0225004728613,4354.274998482676,117.04969520827342,307.87,70.68,42.58,76.38,0.07761048138428656,0.03184477804049607,0.024663097451403767,77.44785477870322,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 19:51:25,2015-04-13 21:21:25,2.5,3,3379.9692372248574,Error,4067.442908622492,0.06658185595609396,5065.942359475229,6322.794746496435,0.5421536929559266,7438.88950294703,0.024108016818643687,5785.055593254846,5586.919175508595,0.04136195941559902,0.019502543635185745,Error,2070.3137971166534,3355.9011408460674,1628.3374882542648,7438.88950294703,4470.156594974646,1788.9705198373981,40.02030984437011,306.43,67.93,38.19,73.99,0.5421536929559266,0.13874161375628985,0.20238080480108667,145.868856013585,37.63,-84.81,36.76,-73.53
By,2015-04-13 19:51:25,2015-04-13 21:21:25,2.5,3,234.8040953483839,Error,420.4925370291166,0.07990946876018236,686.2078934300018,665.425638842541,0.015883700781405132,1777.6128949315462,0.01586398754808607,2352.0978799793693,4143.352598615341,0.027071401306727288,0.012674230314980293,Error,6293.436768504806,7718.784297636438,7705.66394598172,7718.784297636438,3199.787855029926,2884.1475925730033,90.13558783402624,294.9,76.02,32.87,83.0,0.07990946876018236,0.030280557742276233,0.025291964122400687,83.52542359908148,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 19:51:25,2015-04-13 21:21:25,2.5,3,479.51196603298155,Error,667.1709541186142,0.07527095552784173,1906.1060331503272,2352.4837418534144,0.018766441703603243,3896.6677881099877,0.012367163479381355,11415.92593843899,11379.61617135519,0.03776019030419668,0.012233753287831469,Error,1383.7214940374472,1392.1046298088922,594.9444823059266,11415.92593843899,3546.8253199211767,4040.450702250369,113.91738633297459,306.47,69.25,39.39,75.25,0.07527095552784173,0.0312797008605709,0.023892430075224614,76.38317956340119,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 19:56:08,2015-04-13 21:26:08,2.5,3,2263.1975838158596,Error,2525.8368525438973,0.052191478158805635,2850.181121726931,3186.4570762784087,0.2085707519398039,4036.991657123717,0.01927966490890396,3048.9852573979115,3078.4305353521945,0.041798131883573855,0.01625173819986858,Error,1649.7552330828898,2225.073836068317,1157.4510967948563,4036.991657123717,2602.2360250184984,783.9208622462006,30.124894694770354,306.43,67.93,38.19,73.99,0.2085707519398039,0.06761835301819119,0.07175988982035299,106.12487086316287,37.63,-84.81,36.76,-73.53
By,2015-04-13 19:56:08,2015-04-13 21:26:08,2.5,3,175.9805276575953,Error,305.58623935026355,0.07647928207926441,482.75522915376956,549.1425840165518,0.013728765345881667,1349.282026379236,0.013328969815779256,1784.2949036951356,3362.3602684983844,0.026254363042968222,0.011913778207441777,Error,972.0250057241747,2291.474798351661,3079.2799530179377,3362.3602684983844,1435.2181535844709,1097.6266240574444,76.47803376205293,307.87,70.68,42.58,76.38,0.07647928207926441,0.028341031698267065,0.024618612158239656,86.8656173859224,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 19:56:08,2015-04-13 21:26:08,2.5,3,317.8125804181357,Error,674.0477985248116,0.07824586301485328,1344.688444880836,1232.1019141932418,0.01929161028490627,3000.498489162293,0.01216325165330043,6534.301569691968,5285.94741718047,0.04229495879324512,0.012004544756404693,Error,2049.228324425851,1116.8236606976238,155.7539508499354,6534.301569691968,2171.120415002517,2045.8784968708544,94.23146144883367,306.47,69.25,39.39,75.25,0.07824586301485328,0.03280004570054196,0.025283526816676595,77.08381581998476,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 19:56:31,2015-04-13 21:26:31,2.5,3,2263.1975838158596,Error,2525.8368525438973,0.05121988343470947,2850.181121726931,3186.4570762784087,0.17706398534041295,4036.991657123717,0.01811611507143111,3048.9852573979115,3078.4305353521945,0.035801395904543495,0.016676154774757774,Error,1649.7552330828898,2225.073836068317,1157.4510967948563,4036.991657123717,2602.2360250184984,783.9208622462006,30.124894694770354,306.43,67.93,38.19,73.99,0.17706398534041295,0.05977550690517095,0.059996004778503996,100.36887662647989,37.63,-84.81,36.76,-73.53
By,2015-04-13 19:56:31,2015-04-13 21:26:31,2.5,3,175.9805276575953,Error,305.58623935026355,0.08415712153920625,482.75522915376956,549.1425840165518,0.015106010533052484,1349.282026379236,0.014186635769753278,1784.2949036951356,3362.3602684983844,0.026744725176780875,0.012726390031917499,Error,972.0250057241747,2291.474798351661,3079.2799530179377,3362.3602684983844,1435.2181535844709,1097.6266240574444,76.47803376205293,307.87,70.68,42.58,76.38,0.08415712153920625,0.030584176610142077,0.02724758825245745,89.09047511654057,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 19:56:31,2015-04-13 21:26:31,2.5,3,317.8125804181357,Error,674.0477985248116,0.07757807514991327,1344.688444880836,1232.1019141932418,0.01747801678023109,3000.498489162293,0.012836068242406825,6534.301569691968,5285.94741718047,0.03981327266322578,0.012439109895013399,Error,2049.228324425851,1116.8236606976238,155.7539508499354,6534.301569691968,2171.120415002517,2045.8784968708544,94.23146144883367,306.47,69.25,39.39,75.25,0.07757807514991327,0.03202890854615807,0.024896492461008033,77.7313170854035,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 19:57:40,2015-04-13 21:27:40,2.5,3,1969.933443171165,Error,2183.3683947902555,0.04241984646870514,2343.7254326344587,2644.421500623175,0.016885469596317704,3573.287602881531,0.018495572101605642,2718.39443475792,2733.178209785796,0.041152147008626336,0.017668293734432145,Error,1597.9078871322615,2041.3294978406248,1140.8353376612413,3573.287602881531,2294.638174127843,642.6711847616338,28.00751735100473,306.43,67.93,38.19,73.99,0.04241984646870514,0.027324265781937397,0.011825725766974072,43.279207797749585,12.25,-83.34,36.39,-70.83
By,2015-04-13 19:57:40,2015-04-13 21:27:40,2.5,3,162.54098222959644,Error,288.18152877529826,0.06388160769335756,443.58368093701733,510.7740842856124,0.013259020948447548,1262.2835980842033,0.01266530739818747,1641.274273762705,2836.860749472591,0.025039058171062053,0.011539908576709858,Error,741.7206784204895,1862.5061134418554,1740.4617790201899,2836.860749472591,1149.0187468429558,821.455405538131,71.4919062717786,307.87,70.68,42.58,76.38,0.06388160769335756,0.025276980557552897,0.019912642431420838,78.7777732632343,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 19:57:40,2015-04-13 21:27:40,2.5,3,277.2844261079922,Error,644.6727940023278,0.06855172572818792,1215.9860111141686,1048.799282004289,0.018936527282248993,2654.1786246736283,0.011898790603713105,5531.711920414815,4261.671571483545,0.04214425456229509,0.011821430462167402,Error,2203.051278512849,1198.2124565433564,109.65920981781268,5531.711920414815,1914.5227574674784,1688.9238106922855,88.21643953328535,306.47,69.25,39.39,75.25,0.06855172572818792,0.030670545727722504,0.021963537594189505,71.61117310781039,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 19:57:58,2015-04-13 21:27:58,2.5,3,1969.933443171165,Error,2183.3683947902555,0.0331515008809648,2343.7254326344587,2644.421500623175,0.013571336318401279,3573.287602881531,0.01589804098668606,2718.39443475792,2733.178209785796,0.03655418328847427,0.01753951032335978,Error,1597.9078871322615,2041.3294978406248,1140.8353376612413,3573.287602881531,2294.638174127843,642.6711847616338,28.00751735100473,306.43,67.93,38.19,73.99,0.03655418328847427,0.023342914359577235,0.009542907016417452,40.88138640024675,77.2,-85.5,33.68,-76.55
By,2015-04-13 19:57:58,2015-04-13 21:27:58,2.5,3,162.54098222959644,Error,288.18152877529826,0.07407408823321025,443.58368093701733,510.7740842856124,0.014914136715645843,1262.2835980842033,0.01384119935883278,1641.274273762705,2836.860749472591,0.02608884594285406,0.012280692981371058,Error,741.7206784204895,1862.5061134418554,1740.4617790201899,2836.860749472591,1149.0187468429558,821.455405538131,71.4919062717786,307.87,70.68,42.58,76.38,0.07407408823321025,0.0282397926463828,0.02343072632431413,82.97060328208657,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 19:57:58,2015-04-13 21:27:58,2.5,3,277.2844261079922,Error,644.6727940023278,0.07007890893034682,1215.9860111141686,1048.799282004289,0.016315062448541518,2654.1786246736283,0.012432810119498115,5531.711920414815,4261.671571483545,0.037837931894964316,0.011996498323921738,Error,2203.051278512849,1198.2124565433564,109.65920981781268,5531.711920414815,1914.5227574674784,1688.9238106922855,88.21643953328535,306.47,69.25,39.39,75.25,0.07007890893034682,0.0297322423434545,0.022304274905539604,75.01713004989632,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 20:00:28,2015-04-13 21:30:28,2.5,3,1233.2933554259976,Error,1451.1305200917902,0.025525035542084528,1227.3791236539296,1553.227093521994,0.012580592991576777,2513.9441067917564,0.01598807809015019,2148.2054702058504,2036.546640203398,0.03596323939703723,0.017928375729156596,Error,1671.428385826513,1817.6137155468289,1244.308898133204,2513.9441067917564,1689.707730940126,415.03795946959895,24.562707021449118,306.43,67.93,38.19,73.99,0.03596323939703723,0.021597064350001062,0.008343053421681025,38.63049758279122,77.2,-85.5,33.68,-76.55
By,2015-04-13 20:00:28,2015-04-13 21:30:28,2.5,3,125.06494582936827,Error,228.8801310626366,0.05984217723334219,333.0316910617658,413.5967438529274,0.014544229599851471,1006.3769464873474,0.013737016159981933,1218.3571691935022,2291.7110374992344,0.02549647857234426,0.012041096476760401,Error,531.645830385713,1175.3747334897046,1093.851710812191,2291.7110374992344,841.7890939674389,622.3908570588115,73.93667386749087,307.87,70.68,42.58,76.38,0.05984217723334219,0.02513219960845605,0.01799026148679228,71.5825187093422,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 20:00:28,2015-04-13 21:30:28,2.5,3,193.3240825629061,Error,482.8255597654685,0.06199789261583511,805.409018026741,708.2128685671586,0.014016742965483673,1801.9431558819574,0.012236484352250086,3189.7339732006863,1991.669662340726,0.03697771914508812,0.011565563904655936,Error,2647.704479197896,1565.0895483930883,93.26928284519684,3189.7339732006863,1347.9181630781825,1005.4155158693922,74.59024912709597,306.47,69.25,39.39,75.25,0.06199789261583511,0.027358880596662583,0.019740879238582122,72.15528855003755,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 20:05:28,2015-04-13 21:35:28,2.5,3,639.9020822067255,Error,1172.8920400415564,0.021997036540586337,1067.2213433101924,1583.6863036087818,0.01205696358962839,1933.9427620262172,0.01593853868667191,2104.994781980993,1985.2007595157502,0.03702074844575415,0.017936993335680926,Error,2111.5167128756093,2294.2684436135214,1564.1556534338342,2294.2684436135214,1645.778088261318,512.565320820184,31.14425477384278,294.9,76.02,32.87,83.0,0.03702074844575415,0.020990056119664344,0.008632916875666417,41.128603117829435,77.2,-85.5,33.68,-76.55
By,2015-04-13 20:05:28,2015-04-13 21:35:28,2.5,3,105.73859518307319,Error,145.65837429449266,0.05276646474686866,185.78083792390603,653.6458633396492,0.013433752609387395,658.9615766882034,0.01241905373690321,640.4074645813071,1489.4837589699973,0.024307801692728424,0.011042764573597513,Error,1637.7860381595722,1497.7288087569168,1410.2148919685742,1637.7860381595722,842.5406209865693,580.7385081229627,68.92706341481191,302.82,74.57,41.92,80.69,0.05276646474686866,0.02279396747189704,0.015709777298130324,68.92076738066376,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 20:05:28,2015-04-13 21:35:28,2.5,3,204.64618164299807,Error,121.18670728627521,0.0591180640881084,281.87305998315446,852.5383689719827,0.011929049006591315,1602.2854743369676,0.011195259081965486,2046.591342740211,2175.2879039276886,0.03578086714713145,0.010988444662667313,Error,3126.202135698435,1731.1079034414422,256.4761500803128,3126.202135698435,1239.8195228109466,990.6918083517915,79.90613070083562,302.82,74.57,41.92,80.69,0.0591180640881084,0.025802336797292796,0.01915617386922662,74.24201156554356,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 20:52:07,2015-04-13 22:22:07,2.5,3,1640.6843295484716,Error,3434.927590607771,0.02177002236667606,5437.135526933638,4159.590517390698,0.012421608495283181,4604.779636137974,0.012136789432180682,3446.317078836582,2806.1209074626345,0.036399414314217955,0.0152261147516181,Error,1011.8181288453399,2824.0543073495223,2595.1181131882304,5437.135526933638,3196.0546136300864,1260.8198059271235,39.44925723578551,307.1,65.42,37.22,71.43,0.036399414314217955,0.019590789871995196,0.009091628929745752,46.40766905852086,77.2,-85.5,33.68,-76.55
By,2015-04-13 20:52:07,2015-04-13 22:22:07,2.5,3,887.4537747082891,Error,954.8334849011646,0.05389432027943663,1206.9726839922898,3973.881330403493,0.010433389875183866,812.228714455144,0.013563835415904913,626.497169615157,1994.3062813254396,0.025264340895630254,0.014693427805980385,Error,6668.415799326238,7938.948521047707,10823.923299703423,10823.923299703423,3588.7461059478346,3461.7664734478467,96.46172705587789,290.77,77.47,29.24,84.72,0.05389432027943663,0.023569862854427213,0.015961970934427083,67.72195083616657,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 20:52:07,2015-04-13 22:22:07,2.5,3,1796.6530071320065,Error,533.4851193547438,0.052065716313465016,881.7792138312894,2541.529827130409,0.007512315817683939,2311.6691677291324,0.008795086615952658,3210.498587783726,3113.7053073659276,0.036887989502344294,0.010925323709203605,Error,2333.320340267194,4554.830771311974,692.8657847676324,4554.830771311974,2197.033712667403,1204.0395310945148,54.80296110853479,294.9,76.02,32.87,83.0,0.052065716313465016,0.0232372863917299,0.018026959400744884,77.57773044945833,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 21:10:59,2015-04-13 22:40:59,2.5,3,672.6186384681326,Error,1283.3478000419316,0.014933716244389737,1386.1550725231848,853.524875535655,0.012197250295510352,2004.9091025162625,0.014325043802102623,993.3958333209293,833.4723920761828,0.03675240093391361,0.01548240828157324,Error,4897.595069356366,7039.255366353867,8668.81365080948,8668.81365080948,2863.3087801001993,2777.607099877332,97.00690051947983,290.77,77.47,29.24,84.72,0.03675240093391361,0.018738163911497914,0.009075744402583009,48.43454484360683,77.2,-85.5,33.68,-76.55
By,2015-04-13 21:10:59,2015-04-13 22:40:59,2.5,3,433.18420446252094,Error,863.4981191454513,0.011421375701350649,1222.4604871474958,203.34561011886308,0.009060055277583388,789.1983884076254,0.009812752605768419,1433.3780278789468,1553.4370344285621,0.019799653092762784,0.010673619729781408,Error,3779.969263373364,3388.1629442788644,6631.793485749652,6631.793485749652,2029.8427564991348,1900.144583159499,93.61043248673478,290.77,77.47,29.24,84.72,0.019799653092762784,0.01215349128144933,0.003904822847062079,32.12922736878304,77.2,-85.5,33.68,-76.55
Bz,2015-04-13 21:10:59,2015-04-13 22:40:59,2.5,3,971.1906134350536,Error,1254.766442478368,0.01159884757285663,1044.8557675770032,780.8168118006354,0.00731184642694572,1830.1582427710923,0.007754865559244591,1942.940480421097,997.2911565543735,0.03743382302137624,0.010451509599053974,Error,608.0246348678133,4125.072226485489,531.8269291848701,4125.072226485489,1408.6943305575794,1008.1018103292312,71.56284997116525,294.9,76.02,32.87,83.0,0.03743382302137624,0.01491017843589543,0.011376223951515621,76.29837563934171,77.2,-85.5,33.68,-76.55
Bx,2015-04-13 21:11:47,2015-04-13 22:41:47,2.5,3,606.2735818187746,Error,1174.8308390836978,0.016376522588994937,1343.3867446323134,855.7401793785884,0.01265777605409571,2092.4026924571367,0.015472089083838701,1119.5636667493964,983.7999426455024,0.03526075632030438,0.017148918017337263,Error,5116.813153242693,7300.87586081874,9206.050597919964,9206.050597919964,2979.9737258746804,2937.9875295497454,98.59105481500139,290.77,77.47,29.24,84.72,0.03526075632030438,0.019383212412914196,0.008082784614057526,41.699922808833875,77.2,-85.5,33.68,-76.55
By,2015-04-13 21:11:47,2015-04-13 22:41:47,2.5,3,453.04178419009673,Error,925.5218636483322,0.011596958973943368,1302.3459393829467,204.5480978798599,0.00884783658705691,828.0269756895918,0.010039359228166275,1493.2958427271308,1645.8513300067873,0.019495029058031396,0.009644324761288254,Error,3962.8173010809132,3367.9732187368186,6551.37659399923,6551.37659399923,2073.4798947341706,1881.453727758272,90.73894241928411,290.77,77.47,29.24,84.72,0.019495029058031396,0.01192470172169724,0.0038894474091880045,32.616727025641865,77.2,-85.5,33.68,-76.55
Bz,2015-04-13 21:11:47,2015-04-13 22:41:47,2.5,3,964.9961596295329,Error,1182.895572594277,0.012675819564447547,972.5462399118221,765.5276194841997,0.0076600749157581804,2087.0218862147044,0.008573524000572189,2191.647755409263,1125.8041095859344,0.03675992683081269,0.011187337411710307,Error,603.7101878475899,4077.9426668934593,567.9365879546239,4077.9426668934593,1454.0028785525406,1022.9439879162882,70.35364255500158,294.9,76.02,32.87,83.0,0.03675992683081269,0.015371336544660183,0.01084359042253048,70.5442262032667,77.2,-85.5,33.68,-76.55
Bx,2015-04-13 21:19:46,2015-04-13 22:49:46,2.5,3,467.1458755815277,Error,1021.8604151342361,0.016042548697078697,2214.136382862732,1423.6788135355887,0.013395477760320759,2575.9673197368666,0.015290064038211641,1470.3323311130516,1196.944172112957,0.035629760826845804,0.017394418932831612,Error,6847.981768826217,8031.064496164089,11318.329527292915,11318.329527292915,3656.744110236018,3524.223390609593,96.37599143851847,290.77,77.47,29.24,84.72,0.035629760826845804,0.0195504540510577,0.008142882167813757,41.6506038506723,77.2,-85.5,33.68,-76.55
By,2015-04-13 21:19:46,2015-04-13 22:49:46,2.5,3,816.1519537737428,Error,1349.942418752572,0.009604815283590015,1732.1197673011063,811.402765394716,0.008189245201396758,885.9885676601317,0.00936440769058779,1742.2035604015473,2334.821963072326,0.01877454270554798,0.009148626949256758,Error,4506.888309374639,3671.7514614677993,5762.4795849823495,5762.4795849823495,2361.375035218093,1632.7203034966346,69.1427782180241,290.77,77.47,29.24,84.72,0.01877454270554798,0.011016327566075861,0.003908754498295368,35.48146580474014,77.2,-85.5,33.68,-76.55
Bz,2015-04-13 21:19:46,2015-04-13 22:49:46,2.5,3,1274.4219663744698,Error,769.6461207148133,0.21212981593254893,287.0692416596511,854.823467360382,0.007447833742261177,3838.4575965606455,0.008712973974938205,4574.35315203066,1922.6807573071999,0.03427275600405041,0.01022493298744424,Error,984.260649963124,2948.265703813096,446.9134132077668,4574.35315203066,1790.089206899181,1421.315615324568,79.39915004496295,306.47,69.25,39.39,75.25,0.21212981593254893,0.0545576625282486,0.07940645226490982,145.54592074723718,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 21:29:55,2015-04-13 22:59:55,2.5,3,2059.6361948160356,Error,3150.271514260874,0.014338223422695284,3912.055233555847,3194.725533362484,0.01279743670423946,3502.443280884375,0.013660291237353692,2396.3244562531427,3025.844399673939,0.03443077078934763,0.017202697031163422,Error,9529.968728463125,7093.502622218183,8807.30153480535,9529.968728463125,4667.207349829336,2602.3138299950133,55.75740769456432,302.82,74.57,41.92,80.69,0.03443077078934763,0.0184858838369599,0.008108438196523198,43.86286459461315,77.2,-85.5,33.68,-76.55
By,2015-04-13 21:29:55,2015-04-13 22:59:55,2.5,3,1219.725095909283,Error,1291.3251181790383,0.008508264821213854,1250.774325842288,1093.053861057957,0.007875669996139945,439.1899760994008,0.008484238422206965,1150.0084673287886,1516.4152731034605,0.018015131032749102,0.009955670423899226,Error,2913.2165313773385,1543.0021421269944,1573.5005886922245,2913.2165313773385,1399.0211379716773,591.6387787598367,42.28948103083015,302.82,74.57,41.92,80.69,0.018015131032749102,0.010567794939241818,0.0037859720043326704,35.82556272239981,77.2,-85.5,33.68,-76.55
Bz,2015-04-13 21:29:55,2015-04-13 22:59:55,2.5,3,2667.7472833418374,Error,674.8436015053117,0.010339287031105647,185.5458908079421,1069.8041421252174,0.006415311953351729,741.6700968773786,0.0072485825571922445,2630.5642857316675,919.0839584702023,0.03367060157147725,0.009574739867560165,Error,1083.8866091875989,343.58763188837133,517.6310228253608,2667.7472833418374,1083.4364522760886,829.9587343964046,76.60428377251137,310.32,62.0,39.05,67.41,0.03367060157147725,0.013449704596137407,0.010212847966739273,75.9336228817418,77.2,-85.5,33.68,-76.55
Bx,2015-04-13 21:41:59,2015-04-13 23:11:59,2.5,3,3013.1042621337383,Error,4469.855895584615,0.15857969448705572,2979.9864730523823,3791.673176586367,0.179203003938353,4188.609433533644,0.01686274740933387,3095.253997398004,6283.416943370831,0.043100860477977565,0.01667277526732653,Error,13838.766209060663,11055.45813543359,12496.544987396326,13838.766209060663,6521.266951355016,4044.1427218357235,62.014678313320914,302.82,74.57,41.92,80.69,0.179203003938353,0.08288381631600934,0.0711795180481791,85.87866873406803,37.63,-84.81,36.76,-73.53
By,2015-04-13 21:41:59,2015-04-13 23:11:59,2.5,3,751.4923471364979,Error,510.9942734881463,0.03128342844720531,295.277310900491,935.3943889937102,0.014337386784862072,585.2924184285141,0.018434463208372727,1493.8722901343008,1082.4072881098568,0.029251262179502364,0.013642338307264149,Error,2175.3913609915535,1450.0331156942539,1966.1623123721583,2175.3913609915535,1124.6317106249483,598.881242279102,53.25132099879247,302.82,74.57,41.92,80.69,0.03128342844720531,0.021389775785441326,0.007458956788151703,34.871598762753486,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 21:41:59,2015-04-13 23:11:59,2.5,3,1427.1069300929896,Error,434.19572213963744,0.04528253446861141,840.3956693516911,862.5975223384368,0.00663021816065046,2004.4381249165972,0.0076537529755165345,2395.5536632304256,1026.6528962394977,0.03768909613235696,0.009492509945680985,Error,642.4261627390097,660.2863344160253,1114.9646027810718,2395.5536632304256,1140.8617628245383,596.8370854544692,52.31458401908603,306.47,69.25,39.39,75.25,0.04528253446861141,0.02134962233656327,0.016640862346299953,77.94452793575128,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 21:54:07,2015-04-13 23:24:07,2.5,3,2419.176214066045,Error,2209.065861890317,0.11854340961448116,2810.3505260396787,4868.546171867796,0.01817523770922707,3656.177360119862,0.015726492550650756,2437.3450159844674,4286.390319789549,0.04248235190352456,0.013680121569762935,Error,11434.319586990143,9537.439747495122,12249.698830697094,12249.698830697094,5590.850963494007,3730.9519009250766,66.73316683429198,290.77,77.47,29.24,84.72,0.11854340961448116,0.0417215226695293,0.03979615679147273,95.3851974835455,12.25,-83.34,36.39,-70.83
By,2015-04-13 21:54:07,2015-04-13 23:24:07,2.5,3,1464.1940788509187,Error,778.5675524264068,0.0616484702641171,949.6155145243051,1724.98715863722,0.0203944795970542,821.2220268774183,0.024489872811818258,1937.095435952504,2459.2058607713534,0.03625890875874995,0.015438806965588008,Error,4455.013969983456,3679.4155380470793,5236.207720143822,5236.207720143822,2350.5524856214483,1505.1235648425302,64.03275715175532,290.77,77.47,29.24,84.72,0.0616484702641171,0.031646107679465504,0.01650398208235722,52.151696662102644,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 21:54:07,2015-04-13 23:24:07,2.5,3,1556.516560365657,Error,2145.4690836230266,0.045510894796903935,1550.2384166431252,607.5311378451119,0.007235369750083197,2456.100337588769,0.009178276043827892,3966.2958812479383,794.7973151328378,0.03716114768663342,0.009669314119836493,Error,579.1327844813071,987.8764837554365,1010.5782246829514,3966.2958812479383,1565.4536225366162,1000.9926031546886,63.94265462382136,306.47,69.25,39.39,75.25,0.045510894796903935,0.021751000479456988,0.0162280577730124,74.60832796330081,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 22:35:35,2015-04-14 00:05:35,2.5,3,4820.161178129056,Error,962.5783497815506,0.13777139755957513,2392.1076319920517,5747.902755276544,0.017832967948254518,3377.8127971664544,0.0164750368386197,825.4784746334893,726.986037607456,0.04493938002505263,0.014290963098240456,Error,1665.3829824740128,1838.735266015959,2684.5347690071726,5747.902755276544,2504.168024208375,1618.4319084088252,64.62952536583279,309.28,67.02,40.87,72.64,0.13777139755957513,0.046261949093948485,0.047102737507817564,101.81745134032639,12.25,-83.34,36.39,-70.83
By,2015-04-13 22:35:35,2015-04-14 00:05:35,2.5,3,2681.0624954152145,Error,2024.6887172179245,0.0612910454668044,1785.6971545225613,3504.344916502433,0.02593626593209395,3473.3410946781137,0.0285547091444231,2628.36616522124,4828.292514612732,0.034916847643024516,0.015228108414393858,Error,3531.228855227863,3715.0541244492415,4237.610561464266,4828.292514612732,3240.9686599311585,907.2592183173402,27.993458546328903,307.87,70.68,42.58,76.38,0.0612910454668044,0.03318539532014797,0.015423247269437194,46.47600886066053,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 22:35:35,2015-04-14 00:05:35,2.5,3,7105.22937002658,Error,3340.3824930138708,0.07064521483287674,3580.4216878372017,873.666011605711,0.0099084496527426,2583.1360502700204,0.008449072281887139,839.7219329645573,766.9259611118814,0.03777622571994657,0.010279806956265665,Error,898.8511770395523,1225.730656636029,1264.0783281537103,7105.22937002658,2247.8143668659113,1912.3964127117654,85.07804029112006,310.32,62.0,39.05,67.41,0.07064521483287674,0.02741175388874374,0.024232238774599214,88.40090595060337,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 22:36:01,2015-04-14 00:06:01,2.5,3,4722.139688293668,Error,1031.89569988401,0.1407030724089204,2550.057406301137,6214.042414207796,0.01743924677273631,3760.525973161579,0.017409983735670452,943.2847366896967,826.8288491816002,0.04438726912916438,0.015467105149005341,Error,1568.1339072951605,1685.0381499262146,2446.7199601700204,6214.042414207796,2574.866678511088,1708.2437609333838,66.34299846239699,309.28,67.02,40.87,72.64,0.1407030724089204,0.047081335439099384,0.04802247331359951,101.9989617238396,12.25,-83.34,36.39,-70.83
By,2015-04-13 22:36:01,2015-04-14 00:06:01,2.5,3,2707.6990432274874,Error,2146.8561949800633,0.06318688068793506,1856.8512725621686,3538.069197338906,0.02771639788982336,3465.741321897736,0.02965859214353036,2631.184533156148,4875.350685317726,0.03392479266019962,0.014954159382558485,Error,3355.5369527149705,3547.425142857617,4062.620399557108,4875.350685317726,3218.733474360993,857.6876642019972,26.646743852324455,307.87,70.68,42.58,76.38,0.06318688068793506,0.03388816455280937,0.015955517209289657,47.08286040226668,12.25,-83.34,36.39,-70.83
Bz,2015-04-13 22:36:01,2015-04-14 00:06:01,2.5,3,7524.260994925256,Error,3434.410357152788,0.07314988466167469,3571.9806219077923,918.6473436040854,0.009660750525242706,2747.8953842751353,0.008490786077836755,810.6153526943368,771.7521871944015,0.03707196874140423,0.009584040686108256,Error,873.7822902288308,1184.2177711342433,1258.2307041339009,7524.260994925256,2309.5793007250772,2030.3622957316484,87.91048201264314,310.32,62.0,39.05,67.41,0.07314988466167469,0.027591486138453324,0.025203425721679953,91.34493733034115,12.25,-83.34,36.39,-70.83
Bx,2015-04-13 22:36:33,2015-04-14 00:06:33,2.5,3,4722.139688293668,Error,1031.89569988401,0.13974070740569172,2550.057406301137,6214.042414207796,0.017606361559436363,3760.525973161579,0.017134326464074565,943.2847366896967,826.8288491816002,0.04495318048363452,0.015292027203749552,Error,1568.1339072951605,1685.0381499262146,2446.7199601700204,6214.042414207796,2574.866678511088,1708.2437609333838,66.34299846239699,309.28,67.02,40.87,72.64,0.13974070740569172,0.04694532062331734,0.04767882822898722,101.5624722462872,12.25,-83.34,36.39,-70.83
