Parameter,Start,End,Freq Lower Bound (mHz),Freq Upper Bound (mHz),FHB,PG5,GHB,PG4,SKT,STF,PG3,ATU,PG2,GDH,UMQ,PG1,PG0,UPN,KUV,SVS,THL,Arctic Maximum,Arctic Mean,Arctic Standard Deviation,Arctic Coefficient of Variation,Arctic Maximum GEOLON,Arctic Maximum GEOLAT,Arctic Maximum AACGMLON,Arctic Maximum AACGMLAT,Antarctic Maximum,Antarctic Mean,Antarctic Standard Deviation,Antarctic Coefficient of Variation,Antarctic Maximum GEOLON,Antarctic Maximum GEOLAT,Antarctic Maximum AACGMLON,Antarctic Maximum AACGMLAT
By,2015-03-25 19:41:20,2015-03-25 21:11:20,2.5,3,4008.390548258467,Error,10617.8316024755,0.8569796724014859,8748.07279255796,36864.91967118607,0.2856850155861477,83221.25809309506,0.30516612943512034,49873.180237013024,23403.576716453324,0.36357521828927314,0.23539591829155254,Error,11919.543984615291,10098.956180438316,11560.855198956066,83221.25809309506,25031.65850250491,23742.52403421631,94.84998379887773,306.43,67.93,38.19,73.99,0.8569796724014859,0.40936039080071585,0.2275411978144045,55.58456629605274,12.25,-83.34,36.39,-70.83
Bz,2015-03-25 19:41:20,2015-03-25 21:11:20,2.5,3,10394.812549845505,Error,9808.38289680763,0.15864307380346662,76741.56491594083,79277.4407164426,0.07348277864493227,132006.5391991919,0.06022861419240603,58152.14139375705,22301.174086727955,0.06875435839592164,0.031008621165236255,Error,2150.0361927897693,8717.295453349452,5991.134219846884,132006.5391991919,40554.05216246996,41657.38027996415,102.72063593811531,306.43,67.93,38.19,73.99,0.15864307380346662,0.07842348924039258,0.042737121223929204,54.49530700288855,12.25,-83.34,36.39,-70.83
Bx,2015-03-26 20:58:29,2015-03-26 22:28:29,2.5,3,25100.497702046432,Error,75979.81866068541,Error,17637.11792178704,20383.612308578315,0.3954863930925589,15497.631582463298,0.34329825988958246,10597.411497029287,25880.225320916245,0.07817296101635969,0.050928860469403245,Error,22798.522416333497,14994.534054268057,12652.602580120532,75979.81866068541,24152.19740442281,17953.288888112143,74.33397710149757,308.27,64.17,37.85,69.98,0.3954863930925589,0.2169716186169761,0.153835309573479,70.90112087196403,37.63,-84.81,36.76,-73.53
By,2015-03-26 20:58:29,2015-03-26 22:28:29,2.5,3,23826.928180948787,Error,13459.776631549015,Error,20468.56044332282,8467.00011354036,0.177295227218971,11033.917504483628,0.08536949318059252,17754.179473406708,16564.42670043141,0.06411979579043309,0.05067926484095644,Error,8043.561593003991,4501.342258334814,4923.259498427928,23826.928180948787,12904.295239744946,6283.865850020413,48.69592436684371,310.32,62.0,39.05,67.41,0.177295227218971,0.09436594525773825,0.04945087855644886,52.40330971240259,37.63,-84.81,36.76,-73.53
Bz,2015-03-26 20:58:29,2015-03-26 22:28:29,2.5,3,48354.361064569224,Error,76473.78422374465,Error,38882.60788971908,27718.35868241207,0.2293686488288466,36719.23018322919,0.09106579754845755,15912.627082244468,3557.749295279937,0.059007984658269626,0.021737186606589062,Error,1034.1770884100674,4198.872429452036,5118.791997823966,76473.78422374465,25797.055993688467,23389.61470781787,90.66776733570062,308.27,64.17,37.85,69.98,0.2293686488288466,0.10029490441054072,0.07845561273871626,78.22492398773431,37.63,-84.81,36.76,-73.53
Bx,2015-03-27 19:37:06,2015-03-27 21:07:06,2.5,3,7237.624854184497,Error,10435.070410830864,Error,12330.697949871359,14676.32091874976,0.03633117407904974,19019.547613308703,2.025632227285943,17136.41454474005,7334.340844648077,1.1179703078329293,0.03487015245292701,Error,3240.4202836109052,5653.245781514652,5088.628614664663,19019.547613308703,10215.231181612351,5125.924676195992,50.179233196628715,306.43,67.93,38.19,73.99,2.025632227285943,0.8037009654127122,0.8324419565255308,103.57608020267335,57.96,-84.42,39.07,-75.24
By,2015-03-27 19:37:06,2015-03-27 21:07:06,2.5,3,342.8232960439984,Error,494.1808439182819,Error,1146.0020023177126,2337.1563304875954,0.03308063733041314,4359.063825945992,0.038042367581414605,4463.19731293127,5001.0036413091075,0.049849080253895124,0.03689021301387636,Error,16128.08998686495,12958.833050145822,8233.678634089563,16128.08998686495,5546.402892405429,5091.986075993044,91.80699950530806,302.82,74.57,41.92,80.69,0.049849080253895124,0.03946557454489981,0.00626982095274784,15.886810277181429,77.2,-85.5,33.68,-76.55
Bz,2015-03-27 19:37:06,2015-03-27 21:07:06,2.5,3,529.9549943587563,Error,2016.059890095658,Error,6092.351125510535,6469.985474994207,0.012241057844366523,3534.622787434092,0.010360218694334518,24427.239128538553,12449.176218440876,0.03690012542627184,0.015342407881924671,Error,2502.7324831938386,7081.807272962342,4450.180369503517,24427.239128538553,6955.410974503237,6632.727293370507,95.36068131249748,306.47,69.25,39.39,75.25,0.03690012542627184,0.018710952461724387,0.010651143090460571,56.92464406741895,77.2,-85.5,33.68,-76.55
Bx,2015-04-02 18:55:00,2015-04-02 20:25:00,2.5,3,291843.4388180731,Error,221122.036620121,1.2224200406636563,206677.19679585387,295105.9601280471,0.46192778506775917,306700.7473515781,0.363576323571649,403200.1528407961,293712.43543958594,0.3061885112323547,0.24863840857644393,Error,88207.13307177043,85888.92718284868,78725.95410374872,403200.1528407961,227118.3982352423,105972.05266714148,46.65938712608341,306.47,69.25,39.39,75.25,1.2224200406636563,0.5205502138223727,0.35793452322265334,68.76080610828284,12.25,-83.34,36.39,-70.83
By,2015-04-02 18:55:00,2015-04-02 20:25:00,2.5,3,19060.918498782223,Error,28857.09868745222,0.6626228583261731,59364.67487856685,63680.250150462154,0.3241916977702514,192334.60839009966,0.31134447241205115,186361.66749133586,220989.07541404152,0.34325494963132713,0.2679614560726288,Error,212460.38978350838,104083.18404124523,110274.57802518987,220989.07541404152,119746.64453606839,73536.01430435134,61.409665873520034,307.87,70.68,42.58,76.38,0.6626228583261731,0.38187508684248633,0.14254057837207632,37.32649321291563,12.25,-83.34,36.39,-70.83
